City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
396,Uruzgan,AF,32.83,66.0,36.75,74,0,2.13,clear sky
397,Sokol,RU,59.46,40.12,35.85,93,100,8.61,overcast clouds
398,Ubinskoye,RU,55.31,79.68,41.2,75,99,13.87,overcast clouds
399,Skowhegan,US,44.77,-69.72,39.2,100,90,3.36,light rain
400,Upernavik,GL,72.79,-56.15,17.29,83,36,4.09,scattered clouds
401,Tanout,NE,14.97,8.89,75.38,19,0,8.7,clear sky
402,Los Llanos De Aridane,ES,28.66,-17.92,69.8,60,20,9.17,few clouds
403,Zhoucheng,CN,35.91,116.31,72.0,1,100,11.36,overcast clouds
404,Ust-Tsilma,RU,65.44,52.15,22.24,95,100,7.43,overcast clouds
405,Zinder,NE,13.81,8.99,77.0,18,39,8.21,scattered clouds
406,Kosh-Agach,RU,50.0,88.67,26.29,81,100,2.06,overcast clouds
407,Batagay-Alyta,RU,67.8,130.41,9.45,94,100,2.44,light snow
408,Kati,ML,12.74,-8.07,64.4,77,0,3.36,clear sky
409,Antofagasta,CL,-23.65,-70.4,59.0,77,90,8.05,overcast clouds
410,Turukhansk,RU,65.82,87.98,-2.0,87,0,7.09,clear sky
411,Moron,AR,-34.65,-58.62,63.0,52,0,5.57,clear sky
412,Lazurne,UA,46.08,32.53,55.0,93,98,11.01,overcast clouds
413,Vagay,RU,57.94,69.02,32.32,97,100,17.34,overcast clouds
414,Hirara,JP,24.8,125.28,80.6,65,40,14.99,scattered clouds
415,Mangan,IN,27.52,88.53,72.77,31,0,2.64,clear sky
416,Nadym,RU,65.53,72.52,5.31,94,0,8.93,clear sky
417,Coquimbo,CL,-29.95,-71.34,53.6,87,0,3.36,clear sky
418,Leningradskiy,RU,69.38,178.42,26.17,94,100,16.75,overcast clouds
419,Roebourne,AU,-20.78,117.13,86.56,32,2,7.81,clear sky
420,Auxerre,FR,47.8,3.57,48.99,91,24,1.99,few clouds
421,Gat,IL,31.61,34.76,69.01,100,0,1.01,clear sky
422,Kathmandu,NP,27.72,85.32,60.8,100,75,2.24,broken clouds
423,Halifax,CA,44.65,-63.57,48.99,97,99,1.99,light rain
424,Guilin,CN,25.28,110.29,73.4,64,20,4.47,few clouds
425,Suntar,RU,62.14,117.63,17.62,90,88,1.61,overcast clouds
426,West Wendover,US,40.74,-114.07,33.8,24,1,2.66,clear sky
427,Edson,CA,53.58,-116.44,35.6,100,90,3.36,light rain
428,Agaro,ET,7.85,36.65,54.9,84,0,0.96,clear sky
429,Khandbari,NP,27.37,87.2,69.51,51,0,1.48,clear sky
430,Barabai,ID,-2.58,115.38,79.0,85,97,1.45,light rain
431,Mount Isa,AU,-20.73,139.5,82.4,17,75,5.82,broken clouds
432,Kalmunai,LK,7.42,81.82,80.94,74,0,4.32,clear sky
433,Ouesso,CG,1.61,16.05,70.16,97,63,1.16,moderate rain
434,Maymyo,MM,22.03,96.47,78.8,94,75,3.36,broken clouds
435,Saint-Pierre,RE,-21.34,55.48,71.6,78,90,4.7,overcast clouds
436,Vostok,RU,46.49,135.88,43.48,63,90,2.51,overcast clouds
437,Porto Novo,BJ,6.5,2.6,80.6,88,40,5.82,scattered clouds
438,Majene,ID,-3.54,118.97,85.89,64,96,4.59,overcast clouds
439,Aksarka,RU,66.56,67.8,2.43,94,18,4.92,few clouds
440,Weston,US,26.1,-80.4,82.4,88,20,8.05,few clouds
441,Coahuayana,MX,18.73,-103.68,75.2,83,75,2.21,broken clouds
442,Qaqortoq,GL,60.72,-46.03,35.6,43,91,1.12,overcast clouds
443,Olinda,BR,-8.01,-34.86,80.6,74,40,8.05,scattered clouds
444,Saint-Francois,FR,46.42,3.91,48.2,76,90,4.7,overcast clouds
445,Tilichiki,RU,60.47,166.1,33.06,91,100,6.4,overcast clouds
446,Baniachang,BD,24.52,91.37,79.2,82,0,3.6,light rain
447,San Javier,ES,37.81,-0.84,57.99,50,0,5.82,clear sky
448,Marzuq,YE,14.4,46.47,59.38,31,51,3.36,broken clouds
449,Eureka,US,40.8,-124.16,54.0,66,1,4.7,clear sky
450,Huambo,AO,-12.78,15.74,62.78,85,2,1.68,clear sky
451,San Vicente,AR,-26.62,-54.13,60.71,100,53,3.09,broken clouds
452,Sisimiut,GL,66.94,-53.67,19.89,91,36,9.28,scattered clouds
453,Ostrovnoy,RU,68.05,39.51,41.43,94,100,23.94,overcast clouds
454,Dunedin,NZ,-45.87,170.5,55.99,64,51,7.0,broken clouds
455,Bongandanga,CD,1.5,21.05,69.87,98,79,2.66,light rain
456,Stepnyak,KZ,52.83,70.78,34.14,88,86,21.09,overcast clouds
457,Juba,SS,4.85,31.58,71.6,88,100,2.44,light rain
458,Vengerovo,RU,55.68,76.75,44.65,80,97,14.5,overcast clouds
459,Morros,BR,-9.45,-46.3,76.87,77,100,1.25,overcast clouds
460,Hualmay,PE,-11.1,-77.61,63.93,82,79,8.14,broken clouds
461,Ust-Kishert,RU,57.37,57.25,25.48,92,7,15.08,clear sky
462,Kloulklubed,PW,7.04,134.26,78.8,88,75,5.82,broken clouds
463,Port Hedland,AU,-20.32,118.57,82.4,65,40,10.29,scattered clouds
464,Nicoya,CR,10.15,-85.45,75.2,100,75,2.24,broken clouds
465,Ornskoldsvik,SE,63.29,18.72,42.8,100,90,2.24,fog
466,Mackay,AU,-21.15,149.2,82.0,69,90,6.93,overcast clouds
467,Prado,BR,-17.34,-39.22,72.99,91,1,3.87,clear sky
468,Beringovskiy,RU,63.05,179.32,33.55,84,0,2.64,clear sky
469,Villazon,BO,-22.09,-65.59,49.5,64,8,10.92,clear sky
470,Tula,RU,54.2,37.61,43.21,84,98,5.77,light rain
471,Grakhovo,RU,56.05,51.97,26.6,79,75,8.95,broken clouds
472,Brainerd,US,46.36,-94.2,24.8,53,20,11.41,few clouds
473,Puerto Madero,MX,14.72,-92.42,78.8,100,40,5.55,scattered clouds
474,Hambantota,LK,6.12,81.12,78.8,100,75,2.24,broken clouds
475,Labuhan,ID,-6.88,112.21,85.75,64,100,8.66,heavy intensity rain
476,Porto Belo,BR,-27.16,-48.55,75.2,83,75,13.87,broken clouds
477,Angoram,PG,-4.06,144.07,95.23,45,0,1.5,clear sky
478,Shimoda,JP,34.67,138.95,64.4,72,75,17.22,broken clouds
479,Poronaysk,RU,49.22,143.12,46.45,60,59,3.47,broken clouds
480,Kamaishi,JP,39.27,141.88,55.4,66,20,3.36,few clouds
481,Cayenne,GF,4.93,-52.33,78.8,100,20,4.7,few clouds
482,Zhigalovo,RU,54.81,105.16,23.52,88,78,2.44,broken clouds
483,Ambilobe,MG,-13.2,49.05,69.84,77,0,3.38,clear sky
484,Abu Dhabi,AE,24.47,54.37,78.8,39,0,5.82,clear sky
485,Meulaboh,ID,4.14,96.13,81.64,75,58,3.51,broken clouds
486,Itoman,JP,26.12,127.67,80.6,54,20,10.29,few clouds
487,Ilulissat,GL,69.22,-51.1,19.4,73,100,6.93,overcast clouds
488,Mkushi,ZM,-13.62,29.39,68.18,55,93,8.5,overcast clouds
489,Constitucion,CL,-35.33,-72.42,50.36,83,100,10.54,overcast clouds
490,Salamanca,ES,40.83,-6.0,44.01,93,0,6.93,clear sky
491,Khadyzhensk,RU,44.43,39.53,55.74,51,0,1.72,clear sky
492,Resistencia,AR,-27.46,-58.98,66.99,59,0,1.12,clear sky
493,Karasjok,NO,69.47,25.51,32.0,97,20,24.16,few clouds
494,Bloemfontein,ZA,-29.12,26.21,62.6,77,89,8.05,overcast clouds
